"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US37179","Union County, North Carolina","209387","*****"
"0500000US37181","Vance County, North Carolina","44998","*****"
"0500000US37183","Wake County, North Carolina","952513","*****"
"0500000US37185","Warren County, North Carolina","20628","*****"
"0500000US37187","Washington County, North Carolina","12837","*****"
"0500000US37189","Watauga County, North Carolina","51903","*****"
"0500000US37191","Wayne County, North Carolina","124093","*****"
"0500000US37193","Wilkes County, North Carolina","69093","*****"
"0500000US37195","Wilson County, North Carolina","81499","*****"
"0500000US37197","Yadkin County, North Carolina","38101","*****"
"0500000US37199","Yancey County, North Carolina","17662","*****"
"0500000US38001","Adams County, North Dakota","2339","*****"
"0500000US38003","Barnes County, North Dakota","11096","*****"
"0500000US38005","Benson County, North Dakota","6764","*****"
"0500000US38009","Bottineau County, North Dakota","6579","*****"
"0500000US38011","Bowman County, North Dakota","3192","*****"
"0500000US38013","Burke County, North Dakota","2145","*****"
"0500000US38015","Burleigh County, North Dakota","86111","*****"
"0500000US38017","Cass County, North Dakota","158041","*****"
"0500000US38019","Cavalier County, North Dakota","3922","*****"
"0500000US38021","Dickey County, North Dakota","5234","*****"
"0500000US38023","Divide County, North Dakota","2239","*****"
"0500000US38025","Dunn County, North Dakota","3965","*****"
"0500000US38027","Eddy County, North Dakota","2379","*****"
"0500000US38029","Emmons County, North Dakota","3491","*****"
"0500000US38031","Foster County, North Dakota","3364","*****"
"0500000US38035","Grand Forks County, North Dakota","68144","*****"
"0500000US38037","Grant County, North Dakota","2363","*****"
"0500000US38039","Griggs County, North Dakota","2348","*****"
"0500000US38041","Hettinger County, North Dakota","2575","*****"
"0500000US38043","Kidder County, North Dakota","2434","*****"
"0500000US38045","LaMoure County, North Dakota","4127","*****"
"0500000US38047","Logan County, North Dakota","1955","*****"
"0500000US38049","McHenry County, North Dakota","5711","*****"
"0500000US38051","McIntosh County, North Dakota","2788","*****"
"0500000US38053","McKenzie County, North Dakota","8333","*****"
"0500000US38055","McLean County, North Dakota","9299","*****"
"0500000US38057","Mercer County, North Dakota","8532","*****"
"0500000US38059","Morton County, North Dakota","28428","*****"
"0500000US38061","Mountrail County, North Dakota","8743","*****"
"0500000US38063","Nelson County, North Dakota","3078","*****"
"0500000US38067","Pembina County, North Dakota","7266","*****"
"0500000US38069","Pierce County, North Dakota","4402","*****"
"0500000US38071","Ramsey County, North Dakota","11522","*****"
"0500000US38073","Ransom County, North Dakota","5452","*****"
"0500000US38075","Renville County, North Dakota","2546","*****"
"0500000US38077","Richland County, North Dakota","16307","*****"
"0500000US38079","Rolette County, North Dakota","14341","*****"
"0500000US38081","Sargent County, North Dakota","3863","*****"
"0500000US38085","Sioux County, North Dakota","4317","*****"
"0500000US38089","Stark County, North Dakota","27038","*****"
"0500000US38091","Steele County, North Dakota","1982","*****"
"0500000US38093","Stutsman County, North Dakota","21056","*****"
"0500000US38095","Towner County, North Dakota","2292","*****"
"0500000US38097","Traill County, North Dakota","8106","*****"
"0500000US38099","Walsh County, North Dakota","11052","*****"
"0500000US38101","Ward County, North Dakota","65854","*****"
"0500000US38103","Wells County, North Dakota","4210","*****"
"0500000US38105","Williams County, North Dakota","27066","*****"
"0500000US39001","Adams County, Ohio","28342","*****"
"0500000US39003","Allen County, Ohio","105562","*****"
"0500000US39005","Ashland County, Ohio","53202","*****"
"0500000US39007","Ashtabula County, Ohio","100346","*****"
"0500000US39009","Athens County, Ohio","64840","*****"
"0500000US39011","Auglaize County, Ohio","45867","*****"
"0500000US39013","Belmont County, Ohio","69793","*****"
"0500000US39015","Brown County, Ohio","44464","*****"
"0500000US39017","Butler County, Ohio","371154","*****"
"0500000US39019","Carroll County, Ohio","28539","*****"
"0500000US39021","Champaign County, Ohio","39628","*****"
"0500000US39023","Clark County, Ohio","137303","*****"
"0500000US39025","Clermont County, Ohio","199450","*****"
"0500000US39027","Clinton County, Ohio","41871","*****"
"0500000US39029","Columbiana County, Ohio","106622","*****"
"0500000US39031","Coshocton County, Ohio","36768","*****"
"0500000US39033","Crawford County, Ohio","43036","*****"
"0500000US39035","Cuyahoga County, Ohio","1267513","*****"
"0500000US39037","Darke County, Ohio","52537","*****"
"0500000US39039","Defiance County, Ohio","38795","*****"
"0500000US39041","Delaware County, Ohio","181821","*****"
"0500000US39043","Erie County, Ohio","76416","*****"
"0500000US39045","Fairfield County, Ohio","148067","*****"
"0500000US39047","Fayette County, Ohio","28875","*****"
"0500000US39049","Franklin County, Ohio","1197592","*****"
"0500000US39051","Fulton County, Ohio","42541","*****"
"0500000US39053","Gallia County, Ohio","30763","*****"
"0500000US39055","Geauga County, Ohio","93819","*****"
"0500000US39057","Greene County, Ohio","163313","*****"
"0500000US39059","Guernsey County, Ohio","39794","*****"
"0500000US39061","Hamilton County, Ohio","803272","*****"
"0500000US39063","Hancock County, Ohio","75290","*****"
"0500000US39065","Hardin County, Ohio","31826","*****"
"0500000US39067","Harrison County, Ohio","15698","*****"
"0500000US39069","Henry County, Ohio","28074","*****"
"0500000US39071","Highland County, Ohio","43266","*****"
"0500000US39073","Hocking County, Ohio","29111","*****"
"0500000US39075","Holmes County, Ohio","43176","*****"
"0500000US39077","Huron County, Ohio","59186","*****"
"0500000US39079","Jackson County, Ohio","32952","*****"
"0500000US39081","Jefferson County, Ohio","68510","*****"
"0500000US39083","Knox County, Ohio","61063","*****"
"0500000US39085","Lake County, Ohio","229602","*****"
"0500000US39087","Lawrence County, Ohio","62100","*****"
"0500000US39089","Licking County, Ohio","167911","*****"
"0500000US39091","Logan County, Ohio","45564","*****"
"0500000US39093","Lorain County, Ohio","302465","*****"
"0500000US39095","Lucas County, Ohio","438167","*****"
"0500000US39097","Madison County, Ohio","43326","*****"
"0500000US39099","Mahoning County, Ohio","235809","*****"
"0500000US39101","Marion County, Ohio","66171","*****"
"0500000US39103","Medina County, Ohio","174091","*****"
"0500000US39105","Meigs County, Ohio","23564","*****"
"0500000US39107","Mercer County, Ohio","40789","*****"
"0500000US39109","Miami County, Ohio","103145","*****"
"0500000US39111","Monroe County, Ohio","14590","*****"
"0500000US39113","Montgomery County, Ohio","534801","*****"
"0500000US39115","Morgan County, Ohio","14977","*****"
"0500000US39117","Morrow County, Ohio","34991","*****"
"0500000US39119","Muskingum County, Ohio","85947","*****"
"0500000US39121","Noble County, Ohio","14561","*****"
"0500000US39123","Ottawa County, Ohio","41304","*****"
"0500000US39125","Paulding County, Ohio","19293","*****"
"0500000US39127","Perry County, Ohio","36000","*****"
"0500000US39129","Pickaway County, Ohio","56279","*****"
"0500000US39131","Pike County, Ohio","28504","*****"
"0500000US39133","Portage County, Ohio","161553","*****"
"0500000US39135","Preble County, Ohio","41887","*****"
"0500000US39137","Putnam County, Ohio","34256","*****"
"0500000US39139","Richland County, Ohio","122813","*****"
"0500000US39141","Ross County, Ohio","77552","*****"
"0500000US39143","Sandusky County, Ohio","60498","*****"
"0500000US39145","Scioto County, Ohio","78520","*****"
"0500000US39147","Seneca County, Ohio","56100","*****"
"0500000US39149","Shelby County, Ohio","49165","*****"
"0500000US39151","Stark County, Ohio","375090","*****"
"0500000US39153","Summit County, Ohio","541464","*****"
"0500000US39155","Trumbull County, Ohio","207596","*****"
"0500000US39157","Tuscarawas County, Ohio","92616","*****"
"0500000US39159","Union County, Ohio","53090","*****"
"0500000US39161","Van Wert County, Ohio","28612","*****"
"0500000US39163","Vinton County, Ohio","13319","*****"
"0500000US39165","Warren County, Ohio","217623","*****"
"0500000US39167","Washington County, Ohio","61473","*****"
"0500000US39169","Wayne County, Ohio","114978","*****"
"0500000US39171","Williams County, Ohio","37493","*****"
"0500000US39173","Wood County, Ohio","128139","*****"
"0500000US39175","Wyandot County, Ohio","22535","*****"
"0500000US40001","Adair County, Oklahoma","22380","*****"
"0500000US40003","Alfalfa County, Oklahoma","5703","*****"
"0500000US40005","Atoka County, Oklahoma","13958","*****"
"0500000US40007","Beaver County, Oklahoma","5581","*****"
"0500000US40009","Beckham County, Oklahoma","22941","*****"
"0500000US40011","Blaine County, Oklahoma","9832","*****"
"0500000US40013","Bryan County, Oklahoma","43595","*****"
"0500000US40015","Caddo County, Oklahoma","29551","*****"
"0500000US40017","Canadian County, Oklahoma","122832","*****"
"0500000US40019","Carter County, Oklahoma","48288","*****"
"0500000US40021","Cherokee County, Oklahoma","47860","*****"
"0500000US40023","Choctaw County, Oklahoma","15175","*****"
"0500000US40025","Cimarron County, Oklahoma","2390","*****"
"0500000US40027","Cleveland County, Oklahoma","264934","*****"
"0500000US40029","Coal County, Oklahoma","5877","*****"
"0500000US40031","Comanche County, Oklahoma","125647","*****"
"0500000US40033","Cotton County, Oklahoma","6157","*****"
"0500000US40035","Craig County, Oklahoma","14792","*****"
"0500000US40037","Creek County, Oklahoma","70607","*****"
"0500000US40039","Custer County, Oklahoma","28506","*****"
"0500000US40041","Delaware County, Oklahoma","41415","*****"
"0500000US40043","Dewey County, Oklahoma","4817","*****"
"0500000US40045","Ellis County, Oklahoma","4113","*****"
"0500000US40047","Garfield County, Oklahoma","61663","*****"
"0500000US40049","Garvin County, Oklahoma","27421","*****"
"0500000US40051","Grady County, Oklahoma","53161","*****"
"0500000US40053","Grant County, Oklahoma","4523","*****"
"0500000US40055","Greer County, Oklahoma","6144","*****"
"0500000US40057","Harmon County, Oklahoma","2883","*****"
"0500000US40059","Harper County, Oklahoma","3747","*****"
"0500000US40061","Haskell County, Oklahoma","12839","*****"
"0500000US40063","Hughes County, Oklahoma","13840","*****"
"0500000US40065","Jackson County, Oklahoma","26275","*****"
"0500000US40067","Jefferson County, Oklahoma","6377","*****"
"0500000US40069","Johnston County, Oklahoma","11043","*****"
"0500000US40071","Kay County, Oklahoma","45781","*****"
"0500000US40073","Kingfisher County, Oklahoma","15202","*****"
"0500000US40075","Kiowa County, Oklahoma","9379","*****"
"0500000US40077","Latimer County, Oklahoma","10921","*****"
"0500000US40079","Le Flore County, Oklahoma","50048","*****"
"0500000US40081","Lincoln County, Oklahoma","34366","*****"
"0500000US40083","Logan County, Oklahoma","43700","*****"
"0500000US40085","Love County, Oklahoma","9574","*****"
"0500000US40087","McClain County, Oklahoma","35860","*****"
"0500000US40089","McCurtain County, Oklahoma","33164","*****"
"0500000US40091","McIntosh County, Oklahoma","20334","*****"
"0500000US40093","Major County, Oklahoma","7639","*****"
"0500000US40095","Marshall County, Oklahoma","15964","*****"
"0500000US40097","Mayes County, Oklahoma","41084","*****"
"0500000US40099","Murray County, Oklahoma","13656","*****"
"0500000US40101","Muskogee County, Oklahoma","70519","*****"
"0500000US40103","Noble County, Oklahoma","11498","*****"
"0500000US40105","Nowata County, Oklahoma","10555","*****"
"0500000US40107","Okfuskee County, Oklahoma","12260","*****"
"0500000US40109","Oklahoma County, Oklahoma","743145","*****"
"0500000US40111","Okmulgee County, Oklahoma","39606","*****"
"0500000US40113","Osage County, Oklahoma","47937","*****"
"0500000US40115","Ottawa County, Oklahoma","32086","*****"
"0500000US40117","Pawnee County, Oklahoma","16566","*****"
"0500000US40119","Payne County, Oklahoma","78723","*****"
"0500000US40121","Pittsburg County, Oklahoma","45220","*****"
